house,year,name_jp,district,districttype,party_jp,party_id,party_en,result,experience,experience_lab,female,gender_lab,age,age_group,borninku,home_lab,educ_type,educ_lab,dynastic,dynastic_lab,busi_emp,busi_exec,celeb,bcrat,localbcrat,pref_assy,pref_gov,sec,magnitude,city_assy,anylocal_assy,mayor,totcruns,totcwins,kucode,region,prcode,inc,camp,ku_vote,ku_totvote,ku_electorate,ku_voteshare,ku_rank,ku_ncand,pr_partyvote,pr_totvote,pr_electorate,pr_voteshare,pr_m,pr_partyseats,pr_rank,pr_ncand,pr_rerank,poptotal,popmale,popfemale,popunder15,popover65,popdid,popdensity,byear,bplace,bplace_id,background_jp,background_eng,busi,priorwins,incumbent2,incdummy2,hc,bcrat_id,news,union,agri,celeb_id,qual,educ,law,med,relig,police,pubcorp,mili,juku,kobo,dynasty,family,pre_local,pre_cand,pre_mp,seshu,junior,cablegacy,pre_fam,cabappt,cabexp,junappt,junexp,pm,pid,party_en_orig,borninken
HR,2014,熊田裕通,Aichi 1,SMD,自民党,1,LDP,1,2,"Currently in office, 1 term",0,Male,50,50-59,1,Born inside district,2,Private university,0,None,0,0,0,0,0,1,0,1,1,0,1,0,2,2,2301,Tokai,70000,1,1,73003,172217,377177,0.423901241,1,6,2147672,6449446,12122808,0.333001005,21,8,1,38,0,462405,224951,237454,50258,100199,462405,1,1964,愛知県名古屋市,2301,［元］県議［歴］首相秘書▽県議会運営委員長▽党県青年局長▽神奈川大,"prefectural assembly, MP secretary",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,,0,0,0,0,0,11923,LDP,1
HR,2014,平山良平,Aichi 1,SMD,社会民主党,2,SDP,0,0,No experience,0,Male,66,60-69,0,Born outside district,1,Local public university,0,None,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2301,Tokai,0,0,2,5076,172217,377177,0.029474442,6,6,,,,,,,,,,462405,224951,237454,50258,100199,462405,1,1948,愛知県,23,党県副代表［歴］専門学校非常勤講師▽名古屋市立中学校教員▽愛知教育大,education,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,,0,0,0,0,0,18503,SDP,1
HR,2014,大野宙光,Aichi 1,SMD,共産党,5,JCP,0,0,No experience,0,Male,51,50-59,0,Born outside district,0,High school,0,None,1,0,0,0,0,0,0,0,1,0,0,0,4,0,2301,Tokai,70000,0,5,20143,172217,377177,0.116962901,3,6,618695,6449446,12122808,0.095929945,21,2,3,4,3,462405,224951,237454,50258,100199,462405,1,1963,福岡県,40,党県委員・地区委員長［歴］損保会社員▽党県青年学生部長▽名大中退,party position,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,,0,0,0,0,0,16339,JCP,0
HR,2014,吉田統彦,Aichi 1,SMD,民主党,16,DPJ,0,1,"Formerly in office, 1 term",0,Male,40,40-49,1,Born inside district,1,Local public university,0,None,0,0,0,0,0,0,0,0,1,0,0,0,3,1,2301,Tokai,70000,0,4,49230,172217,377177,0.285860281,2,6,1491764,6449446,12122808,0.231301107,21,5,2,29,9,462405,224951,237454,50258,100199,462405,1,1974,愛知県名古屋市,2303,医師▽名大非常勤講師［歴］米ジョンズ・ホプキンズ大研究員▽名古屋大学医学部、名大院,"med (doctor), education",0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,,0,0,0,0,0,11466,DPJ,1
HR,2014,身玉山宗三郎,Aichi 1,SMD,次世代の党,39,PFG,0,0,No experience,0,Male,41,40-49,1,Born inside district,2,Private university,0,None,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2301,Tokai,70000,0,1,6422,172217,377177,0.037290163,5,6,147080,6449446,12122808,0.02280506,21,0,2,5,999,462405,224951,237454,50258,100199,462405,1,1973,愛知県名古屋市西区,2301,行政書士▽神戸大院生［歴］インドネシア大使館専門調査員▽中央大学法学部、中大院,"administrative scrivener, graduate student",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,,0,0,0,0,0,19658,PFG,1
HR,2014,広沢一郎,Aichi 1,SMD,減税日本,99,Other,0,0,No experience,0,Male,50,50-59,0,Born outside district,2,Private university,0,None,0,1,0,0,0,1,0,0,1,0,1,0,1,0,2301,Tokai,0,0,4,18343,172217,377177,0.106510972,4,6,,,,,,,,,,462405,224951,237454,50258,100199,462405,1,1963,愛知県名古屋市瑞穂区,2304,［元］県議▽減税日本幹事長［歴］商社員▽ソフト開発・販売会社社長▽慶大,"prefectural assembly, company president",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,,0,0,0,0,0,19586,Minor Party,1
HR,2014,江崎鉄磨,Aichi 10,SMD,自民党,1,LDP,1,6,"Currently in office, 3+ terms",0,Male,71,Over_70,1,Born inside district,2,Private university,3,Cabinet minister,0,0,0,0,0,0,0,1,1,0,0,0,8,6,2310,Tokai,70000,1,1,91978,206728,422754,0.444922797,1,4,2147672,6449446,12122808,0.333001005,21,8,1,38,0,523374,256192,267182,77930,112908,364334,0.6961255,1943,愛知県一宮市,2310,［元］法務委員長▽党副幹事長［歴］衆院議員秘書▽副国交相▽立教大,MP secretary,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,江崎,0,1,1,1,1,1,"江崎真澄(father), 江崎均 (great grandfather's cousin)",0,0,0,1,0,12301,LDP,1
HR,2014,板倉正文,Aichi 10,SMD,共産党,5,JCP,0,0,No experience,0,Male,56,50-59,0,Born outside district,2,Private university,0,None,1,0,0,0,0,0,0,0,1,1,1,0,2,0,2310,Tokai,0,0,5,25376,206728,422754,0.122750668,4,4,,,,,,,,,,523374,256192,267182,77930,112908,364334,0.6961255,1958,長野県,20,［元］一宮市議▽党県委員・地区副委員長［歴］眼科医院職員▽日本福祉大,"hospital employee, city assy",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,,0,0,0,0,0,18128,JCP,0
HR,2014,杉本和巳,Aichi 10,SMD,無所属,10,Independent,0,4,"Currently in office, 2 terms",0,Male,54,50-59,0,Born outside district,2,Private university,0,None,1,0,0,0,0,0,0,0,1,0,0,0,4,2,2310,Tokai,0,2,4,45702,206728,422754,0.221073101,2,4,,,,,,,,,,523374,256192,267182,77930,112908,364334,0.6961255,1960,東京都文京区千駄木,13,［元］銀行員［歴］みんなの党国対委員長代理・総務委員長▽早稲田大学政治経済学部経済学科、オックスフォード大学大学院、ハーバード大院,"educ (university professor), bus (banking)",0,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,,0,0,0,0,0,15031,Independent,0
HR,2014,小林弘子,Aichi 10,SMD,民主党,16,DPJ,0,0,No experience,1,Female,75,Over_70,0,Born outside district,2,Private university,0,None,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2310,Tokai,70000,0,4,43672,206728,422754,0.211253434,3,4,1491764,6449446,12122808,0.231301107,21,5,2,29,16,523374,256192,267182,77930,112908,364334,0.6961255,1939,青森県弘前市,204,［元］江南市議長▽江南団地自治会副会長［歴］党県副代表▽弘前学院短大,municipal assembly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,,0,0,0,0,0,19640,DPJ,0
