house,year,name_jp,district,districttype,party_jp,party_id,party_en,result,experience,experience_lab,female,gender_lab,age,age_group,borninku,home_lab,educ_type,educ_lab,dynastic,dynastic_lab,busi_emp,busi_exec,celeb,bcrat,localbcrat,pref_assy,pref_gov,sec,magnitude,city_assy,anylocal_assy,mayor,district_jp,kana
HC,2013,大塚耕平,Aichi,MMD,民主党,16,DPJ,1,4,"Currently in office, 2 terms",0,Male,53,50-59,1,Born inside district,2,Private university,0,None,0,1,0,0,0,0,0,0,3,0,0,0,愛知選挙区,オオツカ コウヘイ
HC,2013,薬師寺道代,Aichi,MMD,みんなの党,99,Other,1,0,No experience,1,Female,49,40-49,0,Born outside district,2,Private university,0,None,0,0,0,0,0,0,0,0,3,0,0,0,愛知選挙区,ヤクシジ ミチヨ
HC,2013,中根裕美,Aichi,MMD,幸福実現党,99,Other,0,0,No experience,1,Female,39,Under_40,0,Born outside district,2,Private university,0,None,0,0,0,0,0,0,0,0,3,0,0,0,愛知選挙区,ナカネ ヒロミ
HC,2013,本村伸子,Aichi,MMD,共産党,5,JCP,0,0,No experience,1,Female,40,40-49,1,Born inside district,2,Private university,0,None,0,0,0,0,0,0,0,1,3,0,0,0,愛知選挙区,モトムラ ノブコ
HC,2013,伊藤善規,Aichi,MMD,社民党,2,SDP,0,0,No experience,0,Male,64,60-69,1,Born inside district,0,High school,0,None,0,0,0,0,0,0,0,0,3,1,1,0,愛知選挙区,イトウ ヨシキ
HC,2013,宇田幸生,Aichi,MMD,諸派,99,Other,0,0,No experience,0,Male,40,40-49,1,Born inside district,2,Private university,0,None,0,0,0,0,0,0,0,0,3,0,0,0,愛知選挙区,ウダ コウセイ
HC,2013,身玉山宗三郎,Aichi,MMD,諸派,99,Other,0,0,No experience,0,Male,40,40-49,1,Born inside district,2,Private university,0,None,0,0,0,1,0,0,0,0,3,0,0,0,愛知選挙区,ミタマヤマ ソウザブロウ
HC,2013,酒井庸行,Aichi,MMD,自民党,1,LDP,1,0,No experience,0,Male,61,60-69,1,Born inside district,2,Private university,0,None,0,0,0,0,0,1,0,0,3,1,1,0,愛知選挙区,サカイ ヤスユキ
HC,2013,平山誠,Aichi,MMD,みどりの風,99,Other,0,2,"Currently in office, 1 term",0,Male,61,60-69,0,Born outside district,0,High school,0,None,0,1,0,0,0,0,0,0,3,0,0,0,愛知選挙区,ヒラヤマ マコト
HC,2013,近藤浩,Aichi,MMD,日本維新の会,35,JIP,0,1,"Formerly in office, 1 term",0,Male,52,50-59,1,Born inside district,0,High school,0,None,0,1,0,0,0,1,0,0,3,0,1,0,愛知選挙区,コンドウ ヒロシ
HC,2013,井原巧,Ehime,SMD,自民党,1,LDP,1,0,No experience,0,Male,49,40-49,1,Born inside district,2,Private university,2,National-level elected politician,0,0,0,0,0,1,0,1,1,0,1,1,愛媛選挙区,イハラ タクミ
